Unnamed: 0,target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
3461,542.3876758,2248.25,9449.68,0.675843,0.51334,13.06092,8.1443,12.3128,fnt+N300+E70,1843
17833,542.3863189,2133.66,29653.3,0.4345,0.54838,15.77233,11.86901,15.64079,wmj+N356+E123,1844
19050,542.365735,2384.96,31054.3,0.601927,0.48068,11.28844,7.65164,11.27025,zfh+N272+E16,1845
3137,542.3651059,2271.01,34576.2,0.689688,0.49714,16.12673,8.10621,16.08845,fcp+N671+E13,1846
9171,542.3496385,1921.55,13437.1,0.361448,0.58972,19.597,17.96455,19.597,sma+N574+E150,1848
9374,542.3468945,2252.96,12601.4,0.567656,0.49674,12.35231,10.9392,12.21356,smi+N481+E195,1849
7236,542.3365581,2224.41,1927.03,0.496105,0.5776,11.41888,8.75136,11.27062,pcu+N334+E38,1850
5769,542.3263814,2132.88,4876.91,0.584951,0.57938,12.42142,8.96002,11.64789,lon+N649+E182,1851
7917,542.3260695,2969.31,3617.73,0.759554,0.358,8.88213,5.8165,8.88213,qtz+N627+E173,1852
16817,542.3173395,2342.68,34474.2,0.607719,0.48836,12.55951,8.54049,12.17515,wib+N554+E120,1853
7031,542.3136143,1954.9,28668.8,0.462539,0.59234,17.28032,13.55508,17.28032,osc+N197+E150,1854
14426,542.3130217,1696.45,22988.1,0.429183,0.62982,15.45046,12.93529,15.32527,uol+N109+E43,1855
9540,542.2857111,2678.25,9273.67,0.742898,0.41632,11.26278,9.89501,11.26278,sml+N366+E166,1856
17913,542.2829717,2021.17,17507.7,0.482728,0.54962,14.71237,13.2145,14.71237,wnk+N233+E65,1857
9971,542.2759595,2117.1,31349.0,0.479325,0.59368,17.71849,13.34935,17.15987,sni+N308+E113,1858
171,542.2604077,1805.39,27156.4,0.260774,0.68132,16.737,16.1533,16.69365,afw+N89+E38,1859
2941,542.2392048,1866.38,25192.3,0.40925,0.60236,16.02022,12.23753,15.98035,ecu+N664+E110,1861
9819,542.2273395,1772.03,33845.7,0.319303,0.63872,18.92885,13.31945,18.88647,smu+N489+E61,1862
9831,542.2195619,2523.14,12759.7,0.590082,0.3982,11.16001,7.02401,11.16001,smu+N540+E119,1865
17379,542.2118619,2234.66,22940.5,0.52029,0.45728,13.09002,7.9789,12.77112,wkf+N234+E72,1867
9945,542.2036294,1847.17,26524.4,0.409479,0.63934,16.31291,12.77039,16.12721,sne+N666+E24,1868
8231,542.18539,1806.82,14325.3,0.280919,0.6581,13.65068,11.2535,13.5199,qzd+N330+E113,1871
3475,542.1747608,1713.97,26540.6,0.328009,0.67614,15.16108,10.76392,14.92035,fnu+N172+E209,1872
1682,542.1668323,2981.92,5189.99,0.528705,0.39762,7.96219,6.09696,7.74727,cdl+N259+E162,1873
16327,542.1473431,2087.88,25009.4,0.483422,0.55672,15.42415,9.62622,13.74523,wgv+N481+E189,1875
5349,542.1173321,2246.34,8236.08,0.694069,0.45294,10.99791,8.0401,10.88935,lcy+N554+E29,1878
3474,542.1128406,2519.99,13370.2,0.610046,0.46066,13.43795,8.81201,13.3962,fnu+N172+E189,1879
9630,542.1107448,2005.85,25399.6,0.517314,0.59512,17.51587,17.06054,17.49999,smm+N36+E8,1880
358,542.0741826,1962.6,33997.6,0.360533,0.60998,18.61324,14.26467,17.57336,atn+N68+E216,1883
17778,542.0705379,2051.26,29608.8,0.602884,0.54054,17.35124,9.05942,16.99759,wme+N108+E175,1884
3589,542.0577246,2185.11,13685.8,0.626072,0.56884,11.24538,9.44653,11.23406,fob+N206+E45,1885
